0.250	0.271	0.294	45	0.0070	0.0070
0.294	0.319	0.346	55	0.0105	0.0114
0.346	0.376	0.408	50	0.0166	0.0178
0.408	0.442	0.480	132	0.0278	0.0295
0.480	0.521	0.565	202	0.0451	0.0484
0.565	0.613	0.665	274	0.0692	0.0743
0.665	0.722	0.783	597	0.0983	0.1039
0.783	0.849	0.922	695	0.1245	0.1285
0.922	1.000	1.085	715	0.1380	0.1380
1.085	1.177	1.277	770	0.1325	0.1285
1.277	1.386	1.503	584	0.1096	0.1039
1.503	1.631	1.770	525	0.0794	0.0743
1.770	1.920	2.083	186	0.0517	0.0484
2.083	2.260	2.452	100	0.0312	0.0295
2.452	2.660	2.887	100	0.0191	0.0178
2.887	3.132	3.398	59	0.0122	0.0114
3.398	3.687	4.000	32	0.0070	0.0070
